Timestep;Price;G_WindOffshore;G_GasTurbine;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
48.0;0.007122843888730302;0.0;0.0;7.587403495065325e-13;0.0;0.0;0.0;-0.19580677126587567;-0.07506737967466438;-0.3926763059429979;-11.003;0.0
49.0;0.007043749186615074;0.0;0.0;6.592685342879178e-14;0.0;0.0;0.0;-0.19249856244634017;-0.0744787159400299;-0.38603092471575295;-10.884;0.0
50.0;0.006892958746974539;0.0;0.0;6.065223774434769e-14;0.0;0.0;0.0;-0.18511078433898953;-0.07374258778176786;-0.3711913578038298;-10.66;0.0
51.0;0.006814505834518226;0.0;0.0;5.832521110606968e-14;0.0;0.0;0.0;-0.17781740545182648;-0.07518800925449962;-0.3565560186735022;-10.552;0.0
52.0;0.006757224578871542;0.0;0.0;5.677863191647241e-14;0.0;0.0;0.0;-0.16956900484284726;-0.07917702993868625;-0.3400103601116943;-10.479;0.0
53.0;0.006810037853734534;0.0;0.0;5.820025058042637e-14;0.0;0.0;0.0;-0.16290889984965432;-0.08670103121924745;-0.32666233890282464;-10.578;0.0
54.0;0.007015658989989419;0.0;0.0;6.485481474262884e-14;0.0;0.0;0.0;-0.15896482529896394;-0.0963245875935943;-0.3187785969878452;-10.917;5.959410597028394e-7
55.0;0.007474491171163439;0.0;0.0;8.972171395449888e-14;0.0;0.0;0.0;-0.15991399287586677;-0.10594500363572941;-0.32073170841425713;-11.656;2.6966512345895838e-5
56.0;0.007505742236731996;0.0;0.0;9.216458252423165e-14;0.0;0.0;0.0;-0.15181613694106413;-0.10350508877935213;-0.30447600098803673;-11.734;0.00010620376575743661
57.0;0.007114167802280667;0.0;0.0;6.882081393593563e-14;0.0;0.0;0.0;-0.13680773448713596;-0.09136341671569749;-0.27429798616964157;-11.15;0.00024501272994137207
58.0;0.006507132893874543;0.0;0.0;5.1240880292723825e-14;0.0;0.0;0.0;-0.12015970974360517;-0.07726778440696255;-0.2408044242791033;-10.22;0.0004550475777811298
59.0;0.006074380672058617;0.0;0.0;4.479979028940918e-14;0.0;0.0;0.0;-0.10922637690638051;-0.06842111544487314;-0.2187907246432281;-9.553;0.0006763012090602834
60.0;0.005851135241165169;0.0;0.0;4.234205726858505e-14;0.0;0.0;0.0;-0.10422694734595152;-0.06486609293972052;-0.208694643316089;-9.206;0.0008810710551753697
61.0;0.00583585952531559;0.0;0.0;4.218936745980472e-14;0.0;0.0;0.0;-0.1048986728373453;-0.06587869891006938;-0.2099885488501818;-9.178;0.0010496629372764247
62.0;0.006077635822003405;0.0;0.0;4.4839179280407605e-14;0.0;0.0;0.0;-0.11215869644011342;-0.07208511702745576;-0.2245193783039485;-9.546;0.001186481917813907
63.0;0.006314952529463572;0.0;0.0;4.8003081633821254e-14;0.0;0.0;0.0;-0.12136318564153419;-0.08111779128810738;-0.24296954417384303;-9.898;0.0012534024624427824
64.0;0.006673089034657317;0.0;0.0;5.4712711783904157e-14;0.0;0.0;0.0;-0.1348603662060805;-0.09508785086568469;-0.27007117899539757;-10.43;0.0012261549064466947
65.0;0.00737756299160005;0.0;0.0;8.288484825638498e-14;0.0;0.0;0.0;-0.1575436754878238;-0.11760950330426741;-0.3156793297149119;-11.493;0.0010806547005255155
66.0;0.007753511501432859;0.0;0.0;1.167008233788938e-13;0.0;0.0;0.0;-0.17507542058708725;-0.13652550472006508;-0.35095343916589333;-12.037;0.0008672295661150654
67.0;0.008173679048191287;0.0;0.0;1.9093344186048688e-13;0.0;0.0;0.0;-0.1945542958447595;-0.15398033385567192;-0.3901585851922183;-12.649;0.0006206087575348474
68.0;0.008521442157875519;0.0;0.0;3.096693666015422e-13;0.0;0.0;0.0;-0.2125697723113871;-0.16424668239609602;-0.4264254719736934;-13.154;0.00037283390242020853
69.0;0.008700718554256;0.0;0.0;4.0572129790119434e-13;0.0;0.0;0.0;-0.22566888755971412;-0.16338215057906294;-0.45279053641885586;-13.409;0.00017697785510045942
70.0;0.008510625353709597;0.0;0.0;3.0478323429411663e-13;0.0;0.0;0.0;-0.22736219660334508;-0.1489411445469567;-0.45618724579282666;-13.107;4.809523373366901e-5
71.0;0.00806037420042315;0.0;0.0;1.6539215283135078e-13;0.0;0.0;0.0;-0.21943485848148322;-0.12740423053858768;-0.44021744774677535;-12.415;2.4272550880074964e-6
72.0;0.007478204245586737;0.0;0.0;9.000466620195846e-14;0.0;0.0;0.0;-0.20553034355969196;-0.07880944804039226;-0.41223204351466725;-11.552;0.0
73.0;0.007112989105762944;0.0;0.0;1.094826278684464e-12;0.0;0.0;0.0;-0.19438250382156821;-0.07521028742009217;-0.3898192489872748;-10.991;0.0
74.0;0.006963433466696482;0.0;0.0;9.429178409547684e-13;0.0;0.0;0.0;-0.18699517118051653;-0.0744961720233932;-0.3749800546374432;-10.769;0.0
75.0;0.00689457800979929;0.0;0.0;8.80955559364982e-13;0.0;0.0;0.0;-0.17989783256336966;-0.07607102154062902;-0.360738704033197;-10.676;0.0
76.0;0.006915195089003426;0.0;0.0;8.990204800529707e-13;0.0;0.0;0.0;-0.17351616784100457;-0.08102671066960145;-0.3479459036411208;-10.724;0.0
77.0;0.007040495439965365;0.0;0.0;1.0180732012641898e-12;0.0;0.0;0.0;-0.16839774142313269;-0.08963276383477774;-0.3376981147579887;-10.936;0.0
