Timestep;Price;G_WindOffshore;G_MidMerit;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
95.0;0.03985144026939299;0.44715446818909077;6.789464233894995;4.999999981777872;4.368727164881448e-12;0.11700095433272609;0.0;-0.19484544818614752;-0.11320516522282385;-0.3915695689795846;-11.654;0.0
96.0;0.039846563895842894;0.4817073131756984;5.913962887854924;4.999999981789606;4.369528266131241e-12;0.14774355423276544;0.0;-0.18371141436077235;-0.07051184670020448;-0.3691945085192592;-10.92;0.0
97.0;0.025037633679691775;2.449185937583603;3.0490183319966304;4.657897336817423;2.7423387818031857e-11;0.394877905480597;0.0;-0.1674044145231901;-0.0646940190756624;-0.3358224990756935;-9.983;0.0
98.0;0.025037817884720134;2.1341452902147835;3.1467048606396104;4.755329438962184;2.74243130049059e-11;0.3310049647733785;0.0;-0.1616123406453591;-0.0643113947564646;-0.32420246371720757;-9.817;0.0
99.0;0.025037966616721866;2.0304867568454172;3.1712938924181393;4.779902768931025;2.742521195346864e-11;0.2844433917003943;0.0;-0.15548420052421394;-0.06567560273773466;-0.31190892577051565;-9.733;0.0
100.0;0.03993063136488443;1.4878048615502066;3.578317095879568;4.9999992128290875;3.94273750307576e-11;0.2444484126449685;0.004285708249302755;-0.14978598624369585;-0.07003447847646076;-0.30102012132138956;-9.794;1.5700764673461668e-6
101.0;0.03974862033608233;1.245934941311614;3.927270358715726;4.999999174477528;3.922680736850245e-11;0.18833570896643997;0.11624998758285413;-0.1450372603816783;-0.07727523667086107;-0.2914589087663161;-9.964;4.259923569898099e-5
102.0;0.03980209759892454;0.9532520169143964;4.576302684727741;4.99999918934159;3.9303390427116843e-11;0.12237344206132506;0.41678569291222367;-0.14511704573937953;-0.08798846953079255;-0.2915961671602647;-10.544;0.00015284905887144959
103.0;0.039822159786320636;0.8882113621227273;4.959955374219427;4.999999193760841;3.9326450701277326e-11;0.07372253593482647;0.891071406839065;-0.14624431576619196;-0.09688376954605556;-0.2938213549631723;-11.276;0.0003274833215423517
104.0;0.039806309211692724;0.5711381932930539;4.710157274066448;4.999999190378812;3.930879132099971e-11;0.04536771241747155;1.6473214064772324;-0.14010703185160397;-0.09544750723109728;-0.28142072731559287;-11.457;0.0006085277887962627
105.0;0.03971353107432165;0.341463398403814;3.7837288676114103;4.999999165814645;3.918262758444835e-11;0.040890637566138616;2.49017854586507;-0.12959973820623813;-0.08642385130697118;-0.26022316404566886;-11.18;0.0009298920929353433
106.0;0.02503117210269688;0.2743895500362858;2.8131482736704645;4.421898098811304;2.7391824862657007e-11;0.06387295356803976;3.2341065725755462;-0.1156421810313346;-0.07404514244077218;-0.2316848256906846;-10.386;0.0012320407054138929
107.0;0.02469676251769714;0.22154413244972937;2.221917747614757;3.830163125096331;2.7489420122307935e-11;0.1184932469146509;3.703035159652412;-0.10513887894401712;-0.06557261551730104;-0.2105574902973376;-9.714;0.0014563451515579918
108.0;0.08697989526224895;0.17886178922191337;1.900420691228927;3.509256683082009;0.06855109433182241;0.1671442194427273;3.864821426278482;-0.09855795722129798;-0.061809368827471706;-0.1990504275067307;-9.331;0.0015875900905155224
109.0;-1.5749859996252933;0.18089430964224212;1.6198168214963824;3.228491808981228;0.0035040403297052877;0.2056470846806185;3.658028657007879;-0.09561121701691548;-0.06144450993155121;-0.1951763943104422;-9.126;0.0016456756421495272
110.0;-1.4251433113237035;0.2723577246787125;1.6272513140130958;3.2353552308221794;0.01000931080592495;0.23221107971304322;3.4527661765045403;-0.0964765955529336;-0.06380130717895685;-0.19766590604824769;-9.007;0.001618705587197982
111.0;0.08153292277236404;0.43495934864602925;2.0864946995226163;3.694695431985852;1.2899167837392507e-10;0.25340257934135124;3.173571425131197;-0.10619138672349764;-0.07148134292440043;-0.2140812443775545;-9.247;0.0014872224125251439
112.0;0.025038214829364698;0.9247957900883981;2.447212507107692;4.0548852917915985;2.742291722121709e-11;0.28802504850926947;2.588928024605682;-0.12078175376730801;-0.08504880664648744;-0.24195888384142533;-9.856;0.0012283747580712101
113.0;0.025039683344421963;1.4532510036581807;3.1403348750333975;4.7488540524925;2.7423788055998612e-11;0.31846915214069516;1.8628566226310734;-0.14285241347449232;-0.10652214212868424;-0.28633250682120776;-10.988;0.0008729858326764057
