scen_number;sensitivity;n_iter;walltime;PrimalResidual_EOM;DualResidual_EOM;rho_EOM
4;ref;250;0.6485437033333333;0.007898538403784402;0.0063402439277066335;0.1
4;ref;250;0.6393512016666667;0.007898538403784402;0.0063402439277066335;0.1
4;ref;250;0.6564207833333333;0.007898533765034617;0.006340235803437253;0.1
4;ref;250;0.947484385;1.1356736066023965;0.5690117535608878;0.1
4;ref;250;0.6689735450000001;0.007898533765034617;0.006340235803437253;0.1
4;ref;250;0.65064554;0.007898533765034617;0.006340235803437253;0.1
4;ref;250;0.9425938183333334;0.6813784532716293;0.8687587885376626;0.001
4;ref;250;0.6744126883333333;0.000564996171642466;0.00014011198437628052;0.001
1;ref;250;0.602421045;0.0005649584424497926;0.00014011940137011414;0.001
4;ref;250;0.65899481;0.0005649961759815621;0.00014011198502872314;0.001
4;ref;250;0.9035302216666667;20.123369996782102;9.435061201893355;0.001
4;ref;250;0.6780186666666667;0.0005649963780832406;0.00014011202749031326;0.001
4;ref;250;0.6635594466666668;0.0005649963780835639;0.00014011202748867682;0.001
4;ref;250;0.6960885933333334;0.0005649963780835639;0.00014011202748867682;0.001
4;ref;250;0.67295366;0.0005649963780835639;0.00014011202748867682;0.001
4;ref;250;0.6674419033333334;0.0005649963780835639;0.00014011202748867682;0.001
4;ref;250;0.6961449533333334;0.0005649963780835639;0.00014011202748867682;0.001
4;ref;250;0.6842378950000001;0.0005649963780835639;0.00014011202748867682;0.001
4;ref;250;0.6789118416666667;0.0005649963780835639;0.00014011202748867682;0.001
4;ref;250;0.9375769366666666;3.875009603119287;2.4622288455624615;0.001
4;ref;600;2.1403440483333336;1.7868744687713305;1.7524856239612692;0.001
4;ref;600;1.9332221833333336;27.452846880034496;11.768465087862184;0.001
4;ref;600;1.0428527483333334;8.70735443497335e-7;8.428724544483756e-7;0.001
4;ref;600;1.2212646166666667;9.83393506731742e-7;6.346002902321364e-7;0.1
4;ref;600;1.2410123283333334;9.83393506731742e-7;6.346002902321364e-7;0.1
4;ref;600;1.53400293;9.83393506731742e-7;6.346002902321364e-7;0.1
4;ref;600;1.3887570766666668;9.83393506731742e-7;6.346002902321364e-7;0.1
4;ref;10;0.06954933833333335;27.839424269522503;1.3054921289165682;0.1
4;ref;10;0.06705587666666667;27.839424269522503;1.3054921289165682;0.1
4;ref;10;0.06575213666666667;27.839424269522503;1.3054921289165682;0.1
4;ref;10;0.06803097500000001;27.839424269522503;1.3054921289165682;0.1
4;ref;10;0.07473940666666667;27.839424269522503;1.3054921289165682;0.1
4;ref;10;0.09732300333333335;27.839424269522503;1.3054921289165682;0.1
4;ref;10;0.08290417;148.74807101352232;4.7815251344880165;0.1
4;ref;10;0.07680093000000002;148.74807101352232;4.7815251344880165;0.1
4;ref;10;0.07879122666666667;148.74807101352232;4.7815251344880165;0.1
4;ref;10;0.07619094333333334;148.74807101352232;4.7815251344880165;0.1
4;ref;10;0.08429628166666667;148.74807101352232;4.7815251344880165;0.1
4;ref;10;0.07711783833333334;148.74807101352232;4.7815251344880165;0.1
4;ref;10;0.08472454833333334;68.36489841468149;0.9295635449954218;0.1
4;ref;10;0.082250735;68.36489841468149;0.9295635449954218;0.1
4;ref;10;0.08039243666666666;68.36489841468149;0.9295635449954218;0.1
4;ref;10;0.08182684166666668;68.36489841468149;0.9295635449954218;0.1
4;ref;10;0.08182765833333333;68.36489841468149;0.9295635449954218;0.1
4;ref;10;0.08193987000000001;154.19323712504965;1.1124175860066555e-8;0.001
4;ref;10;0.07883791666666667;384.8396610739491;3.4209084297411605e-9;0.001
4;ref;10;0.07688982333333333;384.8403637919464;5.486891517942346e-7;0.001
4;ref;10;0.06871125;230.8327853313798;9.390298350269847e-7;0.001
4;ref;10;0.11177086000000001;230.8327853313798;9.390298350269847e-7;0.001
4;ref;100;0.28933932666666673;0.5563425277767613;0.11340929472591375;0.001
4;ref;100;0.37615915333333333;384.8396636577132;2.6531422706136008e-5;0.001
4;ref;300;1.096860255;384.83966157759954;0.0032338289520661458;0.001
4;ref;300;1.1257382266666667;384.83966157759954;0.003233757017324752;0.001
4;ref;300;1.08002429;384.83966157759954;0.003233757017324752;0.001
4;ref;300;0.7964823200000001;2.1133838106852334e-5;2.059327528590936e-5;0.001
4;ref;300;1.1011123616666667;14.661718537098741;11.608452956769945;0.001
4;ref;100;0.2774310933333333;0.5563425277767613;0.11340929472591375;0.001
4;ref;100;0.3354533;0.5724776120106908;0.15587900924512219;0.001
4;ref;100;0.3723727616666667;15.558581235135136;7.626345405323286;0.001
4;ref;500;1.4706235333333335;0.49871839856827344;0.3012101955827358;0.001
4;ref;500;1.5305184416666668;0.5740293230435789;0.5749840380753128;0.001
4;ref;500;1.5531693266666666;0.6271499404453971;0.5732090507475345;0.01
4;ref;200;0.71262747;9.312174042231312;4.761449219366727;0.001
4;ref;200;0.7222444400000001;9.312174042231312;4.761449219366727;0.001
4;ref;200;0.7331077666666667;9.312174042231312;4.761449219366727;0.001
4;ref;200;0.7283056366666667;8.586118769170461;4.682114194379648;0.01
4;ref;200;0.7350857983333334;8.220138545977408;4.736279057504643;0.1
4;ref;700;2.6722178866666666;4.669263527582955;3.9320319347057593;0.1
4;ref;700;2.0995158750000003;0.028241448635338912;0.04441989628176964;0.1
4;ref;700;2.170837151666667;0.028241448635338912;0.04441989628176964;0.1
4;ref;5;0.04917183666666667;384.8396592479935;5.912308894780522e-8;0.1
4;ref;5;0.04695924666666667;82.03979028889013;2.43536184672322;0.1
4;ref;5;0.04817305833333333;81.98384427979455;2.44292628980528;0.1
4;ref;20;0.08359950833333334;2.851196177677208;0.7618398018824405;0.1
4;ref;20;0.09037148;2.851196177677208;0.7618398018824405;0.1
4;ref;200;0.5336100083333334;0.07199202018388647;0.05768110978423652;0.1
4;ref;200;0.7844001566666667;15641.211435473595;2.0417089494822936e6;0.1
4;ref;500;1.6702369000000001;16215.915059941948;9.807354391595181e-6;0.1
1;ref;500;0.5886538166666667;0.0004215482630696619;0.0007969652450832009;0.001
1;ref;500;0.557341695;0.0004215482630696619;0.0007969652450832009;0.001
1;ref;500;0.5780755450000001;0.0004215482630696619;0.0007969652450832009;0.001
1;ref;500;0.9717285383333334;0.0004215482630696619;0.0007969652450832009;0.001
1;ref;500;0.8423857533333334;0.0002492498220844942;0.0004615178750292274;0.01
1;ref;500;0.9339503400000001;0.0002492498220844942;0.0004615178750292274;0.01
1;ref;500;10.889500925;0.4414321647261516;0.339219882120759;0.01
1;ref;500;1.3959248033333334;0.9766248730102446;0.9552362868894072;0.01
