Timestep;Price;G_WindOffshore;G_MidMerit;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
69.0;40.10990060934814;3.31765935;3.4343905561110426;5.0;0.0;0.63265306;0.44504644000000004;-0.18245165540156186;-0.13043796183690587;-0.36485979054255396;-12.152;0.0001750296986028785
70.0;40.111687150268935;3.29676071;3.490210046747359;5.0;0.0;0.8;0.13351393;-0.18631843001865755;-0.12054187199919959;-0.3726243932874147;-12.041;5.0862444911292854e-5
71.0;40.07802328437278;3.4482758600000003;2.438212005327646;5.0;0.0;1.024489795;0.009674925;-0.17787690076731136;-0.10202304332699506;-0.35575264712306254;-11.285;3.6128478357447575e-6
72.0;40.05897262875036;3.2340647849999997;1.8428935692627808;5.0;0.0;1.081632655;0.0;-0.16798071711740212;-0.06365085840118179;-0.3359594342788206;-10.591;0.0
73.0;40.14964090192655;2.0846395;4.6762761187013195;5.0;0.0;0.15102041;0.0;-0.17825644778726457;-0.0681677974945732;-0.3565117844428261;-11.309;0.0
74.0;40.1723271330787;1.05015674;5.385223909063894;5.0;0.0;0.09387754999999999;0.0;-0.16950404392917653;-0.06674606682435648;-0.33900808781501923;-10.954;0.0
75.0;40.182233774276874;0.5956112849999999;5.694803995584251;5.0;0.0;0.07755102;0.0;-0.16236703284546858;-0.0678654139263012;-0.3247338545310555;-10.813;0.0
76.0;40.19236991261086;0.33437826499999995;6.011564829259898;5.0;0.0;0.057142855;0.0;-0.156601171432415;-0.07228264359165086;-0.3132021316890359;-10.861;0.0
77.0;40.19736293942891;0.41797282999999996;6.167579896815618;5.0;0.0;0.069387755;0.0;-0.15256046386597852;-0.08025930715327198;-0.3051207165614575;-11.117;0.0
78.0;40.219847439877114;0.40752351;6.870200643328141;5.0;0.0;0.07755102;0.0;-0.15317818386039156;-0.09174084872013266;-0.3063561565502141;-11.804;0.0
79.0;40.25736568094716;0.297805645;8.042652072985836;5.0;0.0;0.130612245;0.022252320000000003;-0.15796736022391017;-0.10342236241643475;-0.31593257317980805;-12.916;8.178091475363883e-6
80.0;40.29214051042731;0.047021945;9.12940197084154;5.0;0.0;0.15510204;0.1876935;-0.16066187836928955;-0.1082504989187971;-0.32130707325563557;-13.929;6.933480524589019e-5
81.0;40.28981969480888;0.094043885;9.05691939173155;5.0;0.0;0.195918365;0.600328945;-0.15716972463773363;-0.1037552482605748;-0.3142855869807036;-14.372;0.00022417715172760345
82.0;40.25622776497032;0.36572623;8.007126992993761;5.0;0.0;0.36326530500000004;1.23403638;-0.15106666289746254;-0.09606912722055563;-0.30201911318515223;-14.421;0.00047010905451050133
83.0;40.196662625586285;0.79937304;6.145704349045969;5.0;0.0;0.8244897950000001;2.1081656349999998;-0.14613282618215567;-0.09053970632249246;-0.2920602879031408;-14.349;0.0008291080717306625
84.0;40.140946122111366;1.3322884;4.404578321014765;5.0;0.0;0.87346939;2.9929373050000003;-0.14205525904436123;-0.08742004296884917;-0.2837981080312615;-14.09;0.0012294378131080261
85.0;40.105106501242076;0.12016719000000001;3.284481512239059;5.0;0.0;2.363265305;3.58891254;-0.14091700815085623;-0.08748049022808847;-0.2814290969288128;-13.847;0.0015501073874558562
86.0;40.113971460284326;0.433646815;3.561568948988597;5.0;0.0;1.069387755;3.84868421;-0.14023294296584896;-0.0890554688990154;-0.27999933659192694;-13.404;0.0017431480546035794
87.0;40.13136769997553;0.318704285;4.105381108992839;5.0;0.0;0.57142857;3.89899381;-0.1458900903504772;-0.09633457454769406;-0.29128303908285375;-13.361;0.0018271751899810876
88.0;40.13025073381214;0.6583072099999999;4.070392863240785;5.0;0.0;0.620408165;3.748065015;-0.15573217339065476;-0.10846337290455202;-0.3109776783787825;-13.522;0.0017783528326684548
